POS	ABBA	BABA	ABBB	BABB	other	no_data
177000	0	0	0	0	8574	1426
178000	0	0	0	0	8572	1428
179000	0	0	0	0	8567	1433
180000	0	0	0	0	8814	1186
181000	0	0	0	0	9038	962
182000	0	0	0	0	9261	739
183000	0	0	0	0	9499	501
184000	0	0	0	0	9477	523
185000	0	0	0	0	9400	600
186000	0	0	0	0	9277	723
187000	0	0	0	0	9159	841
188000	0	0	1	0	8861	1138
189000	0	0	1	0	8836	1163
190000	0	0	1	0	8693	1306
191000	0	0	1	0	8635	1364
192000	0	0	1	0	8172	1827
193000	0	0	1	0	7812	2187
194000	0	0	1	0	7677	2322
195000	0	0	1	0	7528	2471
196000	0	0	1	0	7335	2664
197000	0	0	1	0	7057	2942
198000	0	0	0	0	6848	3152
199000	0	0	0	0	6884	3116
200000	0	0	0	0	6507	3493
201000	0	0	0	0	6460	3540
202000	0	0	1	0	6677	3322
203000	0	0	1	0	6849	3150
204000	0	0	1	0	6374	3625
205000	0	0	1	0	6269	3730
206000	0	0	1	0	6286	3713
207000	0	0	1	0	6305	3694
208000	0	0	1	0	6451	3548
209000	0	0	1	0	6315	3684
210000	0	0	1	0	6643	3356
211000	0	0	1	0	6398	3601
212000	0	0	0	0	6457	3543
213000	0	0	0	0	6410	3590
214000	0	0	0	0	6785	3215
215000	0	0	0	0	6681	3319
216000	0	0	0	0	6902	3098
217000	0	0	0	0	7087	2913
218000	0	0	0	0	6754	3246
219000	0	0	0	0	6649	3351
220000	0	0	0	0	6566	3434
221000	0	0	0	0	6576	3424
222000	0	0	0	0	6605	3395
223000	0	0	0	0	6489	3511
224000	0	0	0	0	6206	3794
225000	0	0	0	0	6393	3607
226000	0	0	0	0	5753	4247
227000	0	0	0	0	5434	4566
228000	0	0	0	0	5893	4107
229000	0	0	0	0	6004	3996
230000	0	0	0	1	5752	4247
231000	0	0	0	1	5347	4652
232000	0	0	0	1	5283	4716
233000	0	0	0	1	5134	4865
234000	0	0	0	1	4774	5225
235000	0	0	0	1	4030	5969
236000	0	0	0	1	4256	5743
237000	0	0	0	1	4400	5599
238000	0	0	0	1	4255	5744
239000	0	0	1	1	3852	6146
240000	0	0	1	0	3758	6241
241000	0	0	1	0	4076	5923
242000	0	0	1	0	3545	6454
243000	0	0	1	0	3256	6743
244000	0	0	1	0	3201	6798
245000	0	0	1	0	3248	6751
246000	0	0	1	0	3328	6671
247000	0	0	1	0	3538	6461
248000	0	0	1	0	3746	6253
249000	0	0	0	0	4467	5533
250000	0	0	0	0	4437	5563
251000	0	0	0	0	4042	5958
252000	0	0	0	0	4050	5950
253000	0	0	0	0	4510	5490
254000	0	0	0	0	4940	5060
255000	0	0	0	0	5867	4133
256000	0	0	0	0	6150	3850
257000	0	0	0	0	6130	3870
258000	0	0	0	0	5398	4602
259000	0	0	0	0	5031	4969
260000	0	0	0	0	5015	4985
261000	0	0	0	0	4975	5025
262000	0	0	0	0	4764	5236
263000	0	0	0	0	4629	5371
264000	0	0	0	0	4920	5080
265000	0	0	0	0	4634	5366
266000	0	0	0	0	4517	5483
267000	0	0	0	0	4492	5508
268000	0	0	0	0	4764	5236
269000	0	0	0	0	5017	4983
270000	0	0	0	0	5543	4457
271000	0	0	0	0	6308	3692
272000	0	0	0	0	6838	3162
273000	0	0	0	0	7102	2898
274000	0	0	0	0	7127	2873
275000	0	0	0	0	7282	2718
276000	0	0	0	0	7279	2721
277000	0	0	0	0	7393	2607
278000	0	0	0	0	8027	1973
279000	0	0	0	0	8176	1824
280000	0	0	0	0	8277	1723
281000	0	0	0	0	8110	1890
282000	0	0	0	0	8195	1805
283000	0	0	0	0	8266	1734
284000	0	0	0	0	8345	1655
285000	0	0	0	0	8433	1567
286000	0	0	0	0	8614	1386
287000	0	0	0	0	8659	1341
288000	0	0	0	0	7722	2278
289000	0	0	0	0	6912	3088
290000	0	0	0	0	6662	3338
291000	0	0	0	0	6791	3209
292000	0	0	0	0	7143	2857
293000	0	0	0	0	7237	2763
294000	0	0	0	0	6886	3114
295000	0	0	0	0	6949	3051
296000	0	0	0	0	6362	3638
297000	0	0	0	0	6247	3753
298000	0	0	0	0	6903	3097
299000	0	0	0	0	7429	2571
300000	0	0	0	0	7490	2510
301000	0	0	0	0	7356	2644
302000	0	0	1	0	7219	2780
303000	0	0	1	0	6757	3242
304000	0	0	1	0	7181	2818
305000	0	0	1	0	7056	2943
306000	0	0	1	0	7512	2487
307000	0	0	1	0	7072	2927
308000	0	0	1	0	7228	2771
309000	0	0	1	0	7470	2529
310000	0	0	1	0	7217	2782
311000	0	0	1	0	7294	2705
312000	0	0	0	0	7051	2949
313000	0	0	0	0	7475	2525
314000	0	0	0	0	7031	2969
315000	0	0	0	0	6640	3360
316000	0	0	0	0	6337	3663
317000	0	0	0	0	6861	3139
318000	0	0	0	0	6611	3389
319000	0	0	0	1	6185	3814
320000	0	0	0	1	6331	3668
321000	0	0	0	1	5797	4202
322000	0	0	0	1	5825	4174
323000	0	0	0	1	5329	4670
324000	0	0	0	1	5538	4461
325000	0	0	0	1	5671	4328
326000	0	0	0	1	5652	4347
327000	0	0	0	1	5503	4496
328000	0	0	1	1	5418	4580
329000	0	0	1	0	5117	4882
330000	0	0	1	0	4638	5361
331000	0	0	1	0	4838	5161
332000	0	0	1	0	4764	5235
333000	0	0	1	0	5000	4999
334000	0	0	1	0	4748	5251
335000	0	0	1	0	4666	5333
336000	0	0	1	0	4610	5389
337000	0	0	2	0	4521	5477
338000	0	0	1	0	4450	5549
339000	0	0	1	0	4661	5338
340000	0	0	1	0	4878	5121
341000	0	0	1	0	4960	5039
342000	0	0	1	1	5212	4786
343000	0	0	1	1	5160	4838
344000	0	0	1	1	5363	4635
345000	0	0	1	1	5537	4461
346000	0	0	1	1	5896	4102
347000	0	0	0	1	5851	4148
348000	0	0	1	2	6087	3910
349000	0	0	1	2	6246	3751
350000	0	0	1	2	6291	3706
351000	0	0	1	2	6521	3476
352000	0	0	1	1	6127	3871
353000	0	0	1	1	5586	4412
354000	0	0	1	1	5296	4702
355000	0	0	1	1	5430	4568
356000	0	0	1	1	5407	4591
357000	0	0	1	1	5191	4807
358000	0	0	0	0	4975	5025
359000	0	0	0	0	4918	5082
360000	0	0	0	0	5208	4792
361000	0	0	0	0	4696	5304
362000	0	0	0	0	5097	4903
363000	0	0	0	0	5788	4212
364000	0	0	0	0	6025	3975
365000	0	0	0	0	5753	4247
366000	0	0	0	0	5669	4331
367000	0	0	0	0	5590	4410
368000	0	0	0	0	5920	4080
369000	0	0	0	0	6197	3803
370000	0	0	0	0	6269	3731
371000	0	0	0	0	6438	3562
372000	0	0	0	0	6199	3801
373000	0	0	0	0	6107	3893
374000	0	0	0	0	6232	3768
375000	0	0	0	0	6148	3852
376000	0	0	0	0	6129	3871
377000	0	0	0	0	6370	3630
378000	0	0	0	0	6182	3818
379000	0	0	0	0	5958	4042
380000	0	0	0	0	5521	4479
381000	0	0	0	0	5650	4350
382000	0	0	0	0	5701	4299
383000	0	0	0	0	5574	4426
384000	0	0	0	0	5151	4849
385000	0	0	1	0	4931	5068
386000	0	0	2	0	4781	5217
387000	0	0	2	0	5174	4824
388000	0	0	2	0	5305	4693
389000	0	0	2	0	5100	4898
390000	0	0	2	0	5096	4902
391000	0	0	2	0	5098	4900
392000	0	0	2	0	5116	4882
393000	0	0	2	0	4897	5101
394000	0	0	2	0	5324	4674
395000	0	0	1	0	5525	4474
396000	0	0	0	0	5800	4200
397000	0	0	0	0	5483	4517
398000	0	0	0	0	5416	4584
399000	0	0	0	0	5422	4578
400000	0	0	0	0	5720	4280
401000	0	0	0	0	6035	3965
402000	0	0	0	0	6112	3888
403000	0	0	0	0	6366	3634
404000	0	0	0	0	6505	3495
405000	0	0	0	0	6157	3843
406000	0	0	0	0	5855	4145
407000	0	0	0	0	5714	4286
408000	0	0	0	0	5859	4141
409000	0	0	0	0	5855	4145
410000	0	0	0	0	5589	4411
411000	0	0	0	0	5120	4880
412000	0	0	0	0	5238	4762
413000	0	0	0	0	5167	4833
414000	0	0	0	0	4466	5534
415000	0	0	0	0	4373	5627
416000	0	0	0	0	4107	5893
417000	0	0	0	0	4284	5716
418000	0	0	0	0	4289	5711
419000	0	0	0	0	4418	5582
420000	0	0	0	1	4629	5370
421000	0	0	0	1	4724	5275
422000	0	0	0	1	4433	5566
423000	0	0	0	1	4608	5391
424000	0	0	0	1	4837	5162
425000	0	0	0	1	5101	4898
426000	0	0	0	1	5398	4601
427000	0	0	0	1	5284	4715
428000	0	0	0	1	4860	5139
429000	0	0	0	1	5005	4994
430000	0	0	0	0	5098	4902
431000	0	0	0	0	4911	5089
432000	0	0	0	0	5079	4921
433000	0	0	0	0	4894	5106
434000	0	0	0	0	5277	4723
435000	0	0	0	0	5597	4403
436000	0	0	0	0	5961	4039
437000	0	0	0	0	6358	3642
438000	0	0	0	0	6865	3135
439000	0	0	0	0	7180	2820
440000	0	0	0	0	7362	2638
441000	0	0	0	0	7840	2160
442000	0	0	0	0	7868	2132
443000	0	0	0	0	7712	2288
444000	0	0	0	0	7630	2370
445000	0	0	0	0	7867	2133
446000	0	0	0	0	7938	2062
447000	0	0	0	0	7975	2025
448000	0	0	0	0	7918	2082
449000	0	0	0	0	7912	2088
450000	0	0	0	0	7972	2028
451000	0	0	0	0	7936	2064
452000	0	0	0	0	7966	2034
453000	0	0	0	0	8266	1734
454000	0	0	0	0	8442	1558
455000	0	0	0	0	7908	2092
456000	0	0	0	0	7693	2307
457000	0	0	0	0	7665	2335
458000	0	0	0	0	7517	2483
459000	0	0	0	0	6882	3118
460000	0	0	0	0	6230	3770
461000	0	0	0	0	6424	3576
462000	0	0	0	0	6176	3824
463000	0	0	0	0	6388	3612
464000	0	0	0	0	6284	3716
465000	0	0	0	0	6934	3066
466000	0	0	0	0	6938	3062
467000	0	0	0	0	6737	3263
468000	0	0	0	0	6719	3281
469000	0	0	0	0	7165	2835
470000	0	0	0	0	7572	2428
471000	0	0	0	0	7291	2709
472000	0	0	0	0	7417	2583
473000	0	0	0	0	7068	2932
474000	0	0	0	0	7013	2987
475000	0	0	0	0	6756	3244
476000	0	0	0	0	6554	3446
477000	0	0	0	0	6208	3792
478000	0	0	0	0	6254	3746
479000	0	0	0	0	6149	3851
480000	0	0	0	0	6253	3747
481000	0	0	0	0	6125	3875
482000	0	0	0	0	6336	3664
483000	0	0	0	0	6703	3297
484000	0	0	1	0	6871	3128
485000	0	0	1	0	6827	3172
486000	0	0	1	0	7061	2938
487000	0	0	1	0	7377	2622
488000	0	0	1	0	7262	2737
489000	0	0	1	0	7332	2667
490000	0	0	1	0	7033	2966
491000	0	0	1	0	7160	2839
492000	0	0	1	0	6806	3193
493000	0	0	1	0	6562	3437
494000	0	0	0	0	6679	3321
495000	0	0	0	0	6763	3237
496000	0	0	0	0	6930	3070
497000	0	0	0	0	6956	3044
498000	0	0	0	0	7191	2809
499000	0	0	0	0	7448	2552
500000	0	0	0	0	7967	2033
501000	0	0	0	0	8299	1701
502000	0	0	0	0	8799	1201
503000	0	0	0	0	8880	1120
504000	0	0	0	0	8696	1304
505000	0	0	0	0	8458	1542
506000	0	0	0	0	8025	1975
507000	0	0	0	0	7876	2124
508000	0	0	0	0	7920	2080
509000	0	0	0	0	7472	2528
510000	0	0	0	0	7025	2975
511000	0	0	0	0	6864	3136
512000	0	0	0	0	6598	3402
513000	0	0	0	0	6371	3629
514000	0	0	0	0	6170	3830
515000	0	0	0	0	6472	3528
516000	0	0	0	0	6429	3571
517000	0	0	0	0	6072	3928
518000	0	0	0	0	5547	4453
519000	0	0	0	0	5661	4339
520000	0	0	0	0	5444	4556
521000	0	0	0	0	5155	4845
522000	0	0	0	0	4736	5264
523000	0	0	0	0	4416	5584
524000	0	0	0	0	4157	5843
525000	0	0	0	0	3575	6425
526000	0	0	0	0	3467	6533
527000	0	0	0	0	3636	6364
528000	0	0	0	0	3892	6108
529000	0	0	0	0	3469	6531
530000	0	0	0	0	3514	6486
531000	0	0	0	0	3203	6797
532000	0	0	0	0	3591	6409
533000	0	0	0	0	4333	5667
534000	0	0	0	0	4622	5378
535000	0	0	0	0	4982	5018
536000	0	0	0	0	5086	4914
537000	0	0	0	0	5272	4728
538000	0	0	0	0	5458	4542
539000	0	0	0	0	5990	4010
540000	0	0	0	0	6417	3583
541000	0	0	0	0	6840	3160
542000	0	0	0	0	6642	3358
543000	0	0	0	0	6006	3994
544000	0	0	0	0	6023	3977
545000	0	0	0	0	5909	4091
546000	0	0	0	0	5692	4308
547000	0	0	0	0	5786	4214
548000	0	0	0	0	5173	4827
549000	0	0	0	0	4704	5296
550000	0	0	0	0	4056	5944
551000	0	0	0	0	3394	6606
552000	0	0	0	0	3025	6975
553000	0	0	0	0	2914	7086
554000	0	0	0	0	2721	7279
555000	0	0	0	0	2988	7012
556000	0	0	0	0	3590	6410
557000	0	0	0	0	3835	6165
558000	0	0	0	0	4170	5830
559000	0	0	0	0	4808	5192
560000	0	0	0	0	5307	4693
561000	0	0	0	0	5764	4236
562000	0	0	0	0	6196	3804
563000	0	0	0	0	6619	3381
564000	0	0	0	0	6821	3179
565000	0	0	0	0	6582	3418
566000	0	0	0	0	6646	3354
567000	0	0	0	0	6539	3461
568000	0	0	0	0	6942	3058
569000	0	0	0	0	6839	3161
570000	0	0	0	0	7167	2833
571000	0	0	0	0	7681	2319
572000	0	0	0	0	7296	2704
573000	0	0	0	0	7190	2810
574000	0	0	0	0	7255	2745
575000	0	0	0	0	6812	3188
576000	0	0	0	0	6475	3525
577000	0	0	0	0	5805	4195
578000	0	0	0	0	5324	4676
579000	0	0	0	0	5130	4870
580000	0	0	0	0	4779	5221
581000	0	0	0	0	4663	5337
582000	0	0	0	0	5205	4795
583000	0	0	0	0	5285	4715
584000	0	0	0	0	5295	4705
585000	0	0	0	0	6176	3824
586000	0	0	0	0	6453	3547
587000	0	0	0	0	7136	2864
588000	0	0	0	0	6948	3052
589000	0	0	0	0	6822	3178
590000	0	0	0	0	6673	3327
591000	0	0	0	0	6689	3311
592000	0	0	0	0	6647	3353
593000	0	0	0	0	6889	3111
594000	0	0	0	0	6728	3272
595000	0	0	0	0	6779	3221
596000	0	0	0	0	6917	3083
597000	0	0	0	0	7055	2945
598000	0	0	0	0	7806	2194
599000	0	0	0	0	8308	1692
600000	0	0	0	0	8386	1614
601000	0	0	0	0	8169	1831
602000	0	0	0	0	8301	1699
603000	0	0	0	0	7711	2289
604000	0	0	0	0	7139	2861
605000	0	0	0	0	6445	3555
606000	0	0	0	0	6445	3555
607000	0	0	0	0	6409	3591
608000	0	0	0	0	6385	3615
609000	0	0	0	0	6332	3668
610000	0	0	0	0	6623	3377
611000	0	0	0	0	6925	3075
612000	0	0	0	0	7114	2886
613000	0	0	0	0	7753	2247
614000	0	0	0	0	8715	1285
615000	0	0	0	0	9352	648
616000	0	0	0	0	9346	654
617000	0	0	0	0	9235	765
618000	0	0	0	0	9114	886
619000	0	0	0	0	9146	854
620000	0	0	0	0	9065	935
621000	0	0	0	0	9040	960
622000	0	0	0	0	8847	1153
623000	0	0	0	0	8831	1169
624000	0	0	0	0	8753	1247
625000	0	0	0	0	8506	1494
626000	0	0	0	0	8315	1685
627000	0	0	0	0	8221	1779
628000	0	0	0	0	8366	1634
629000	0	0	0	0	8347	1653
630000	0	0	0	0	8400	1600
631000	0	0	0	0	8356	1644
632000	0	0	0	0	8413	1587
633000	0	0	0	0	8582	1418
634000	0	0	0	0	8668	1332
635000	0	0	0	0	8702	1298
636000	0	0	0	0	8321	1679
637000	0	0	0	0	8369	1631
638000	0	0	0	0	8310	1690
639000	0	0	0	0	8350	1650
640000	0	0	0	0	8509	1491
641000	0	0	0	0	8448	1552
642000	0	0	0	0	8260	1740
643000	0	0	0	0	8104	1896
644000	0	0	0	0	7870	2130
645000	0	0	0	0	8090	1910
646000	0	0	0	0	8518	1482
647000	0	0	0	0	8561	1439
648000	0	0	0	0	8492	1508
649000	0	0	0	0	8466	1534
650000	0	0	0	0	8386	1614
651000	0	0	0	0	8430	1570
652000	0	0	0	0	8600	1400
653000	0	0	0	0	8666	1334
654000	0	0	0	0	8874	1126
655000	0	0	0	0	8928	1072
656000	0	0	0	0	8600	1400
657000	0	0	0	0	8524	1476
658000	0	0	0	0	8090	1910
659000	0	0	0	0	7116	2884
660000	0	0	0	0	6210	3790
661000	0	0	0	0	5340	4660
662000	0	0	0	0	4494	5506
663000	0	0	0	0	3639	6361
664000	0	0	0	0	3565	6435
665000	0	0	0	0	3347	6653
666000	0	0	0	0	3814	6186
667000	0	0	0	0	3815	6185
668000	0	0	0	0	4292	5708
669000	0	0	0	0	5079	4921
670000	0	0	0	0	5442	4558
671000	0	0	0	0	5918	4082
672000	0	0	0	0	6445	3555
673000	0	0	0	0	7123	2877
674000	0	0	0	0	6639	3361
675000	0	0	0	0	6644	3356
676000	0	0	0	0	6340	3660
677000	0	0	1	0	6247	3752
678000	0	0	1	0	6116	3883
679000	0	0	1	0	6109	3890
680000	0	0	1	0	6215	3784
681000	0	0	1	0	6020	3979
682000	0	0	1	0	5890	4109
683000	0	0	1	0	5991	4008
684000	0	0	1	0	6418	3581
685000	0	0	1	1	6018	3980
686000	0	0	1	1	5693	4305
687000	0	0	0	1	5960	4039
688000	0	0	0	1	5803	4196
689000	0	0	0	1	6017	3982
690000	0	0	0	1	6537	3462
691000	0	0	0	1	6867	3132
692000	0	0	0	1	7470	2529
693000	0	0	0	1	7534	2465
694000	0	0	0	1	6855	3144
695000	0	0	0	0	7303	2697
696000	0	0	0	0	7743	2257
697000	0	0	0	0	7271	2729
698000	0	0	0	0	7608	2392
699000	0	0	0	0	7614	2386
700000	0	0	0	0	7563	2437
701000	0	0	0	0	7882	2118
702000	0	0	0	0	7720	2280
703000	0	0	0	0	7481	2519
704000	0	0	0	0	7786	2214
705000	0	0	0	0	7765	2235
706000	0	0	0	0	7870	2130
707000	0	0	0	0	8331	1669
708000	0	0	0	0	8038	1962
709000	0	0	0	0	7793	2207
710000	0	0	0	0	7835	2165
711000	0	0	0	0	7902	2098
712000	0	0	0	0	7997	2003
713000	0	0	0	0	7598	2402
714000	0	0	0	0	7640	2360
715000	0	0	0	0	7812	2188
716000	0	0	0	0	7819	2181
717000	0	0	0	0	7798	2202
718000	0	0	0	0	7885	2115
719000	0	0	0	0	8095	1905
720000	0	0	0	0	7899	2101
721000	0	0	0	0	7654	2346
722000	0	0	0	0	7653	2347
723000	0	0	0	0	8139	1861
724000	0	0	0	0	8340	1660
725000	0	0	0	0	8344	1656
726000	0	0	0	0	8337	1663
727000	0	0	0	0	8215	1785
728000	0	0	0	0	8197	1803
729000	0	0	0	0	7876	2124
730000	0	0	0	0	7670	2330
731000	0	0	0	0	7679	2321
732000	0	0	0	0	7619	2381
733000	0	0	0	0	7680	2320
734000	0	0	0	0	7298	2702
735000	0	0	0	0	6844	3156
736000	0	0	0	0	6312	3688
737000	0	0	0	0	6254	3746
738000	0	0	0	0	6492	3508
739000	0	0	0	0	6570	3430
740000	0	0	0	0	6344	3656
741000	0	0	0	0	6420	3580
742000	0	0	0	0	6378	3622
743000	0	0	0	0	6171	3829
744000	0	0	0	1	6411	3588
745000	0	0	0	1	6716	3283
746000	0	0	0	1	7212	2787
747000	0	0	0	1	7247	2752
748000	0	0	0	1	7195	2804
749000	0	0	0	1	7330	2669
750000	0	0	0	1	7588	2411
751000	0	0	0	1	7488	2511
752000	0	0	0	1	7646	2353
753000	0	0	0	1	7868	2131
754000	0	0	0	0	7475	2525
755000	0	0	0	0	7350	2650
756000	0	0	0	0	7431	2569
757000	0	0	0	0	7124	2876
758000	0	0	0	0	7099	2901
759000	0	0	0	0	6974	3026
760000	0	0	0	0	7219	2781
761000	0	0	0	0	7383	2617
762000	0	0	1	0	6802	3197
763000	0	0	4	0	6102	3894
764000	0	0	4	0	6132	3864
765000	0	0	4	0	6155	3841
766000	0	0	4	0	5798	4198
767000	0	0	4	0	5650	4346
768000	0	0	4	0	5524	4472
769000	0	0	4	0	5289	4707
770000	0	0	4	0	4711	5285
771000	0	0	4	0	4717	5279
772000	0	0	3	0	5057	4940
773000	0	0	0	0	4998	5002
774000	0	0	0	0	5703	4297
775000	0	0	0	0	5972	4028
776000	0	0	0	0	6105	3895
777000	0	0	0	0	6572	3428
778000	0	0	0	0	6702	3298
779000	0	0	0	0	6735	3265
780000	0	0	0	0	7232	2768
781000	0	0	0	0	7105	2895
782000	0	0	0	0	7214	2786
783000	0	0	0	0	8125	1875
784000	0	0	0	0	7804	2196
785000	0	0	0	0	7318	2682
786000	0	0	0	0	7097	2903
787000	0	0	0	0	7059	2941
788000	0	0	0	0	6382	3618
789000	0	0	0	0	6654	3346
790000	0	0	0	0	6697	3303
791000	0	0	0	0	6721	3279
792000	0	0	0	0	6520	3480
793000	0	0	0	0	6156	3844
794000	0	0	0	0	6227	3773
795000	0	0	0	0	6677	3323
796000	0	0	0	0	6934	3066
797000	0	0	0	0	6895	3105
798000	0	0	0	0	7410	2590
799000	0	0	0	0	7529	2471
800000	0	0	0	0	7590	2410
801000	0	0	0	0	7739	2261
802000	0	0	0	0	7494	2506
803000	0	0	0	0	7838	2162
804000	0	0	0	0	8088	1912
805000	0	0	0	0	8113	1887
806000	0	0	0	0	8343	1657
807000	0	0	0	0	8509	1491
808000	0	0	0	0	8678	1322
809000	0	0	0	0	7973	2027
810000	0	0	0	0	7101	2899
811000	0	0	0	0	6809	3191
812000	0	0	0	0	6959	3041
813000	0	0	0	0	6786	3214
814000	0	0	0	0	6538	3462
815000	0	0	0	0	6076	3924
816000	0	0	0	0	5335	4665
817000	0	0	0	0	5149	4851
818000	0	0	0	0	4948	5052
819000	0	0	0	0	5373	4627
820000	0	0	0	0	5886	4114
821000	0	0	0	0	6053	3947
822000	0	0	1	0	5962	4037
823000	0	0	1	0	5682	4317
824000	0	0	1	0	5713	4286
825000	0	0	1	0	6111	3888
